Name,Highway,Highway_Stress,MaxSpeed,MaxSpeed_Stress,Lanes,Lanes_Stress,Stress_Level,Geometry
West Michigan Avenue,secondary,2,35,3,3,3,3,"LINESTRING (-85.5598978 42.2852723, -85.5604451 42.2853318, -85.5609628 42.2853714, -85.5611506 42.2853843, -85.5612793 42.2853953)"
West Michigan Avenue,secondary,2,35,3,3,3,3,"LINESTRING (-85.5310074 42.2606036, -85.5310943 42.259633, -85.5311501 42.2588157)"
West Michigan Avenue,secondary,2,35,3,3,3,3,"LINESTRING (-85.578998 42.293039, -85.5789345 42.2930655, -85.57865 42.293184, -85.5786428 42.2931873, -85.578572 42.29322, -85.5785342 42.2932373, -85.5782428 42.2933732, -85.5781576 42.2934129, -85.5778152 42.2935725, -85.5776901 42.293629, -85.577542 42.293696, -85.5774166 42.2937516, -85.5772137 42.2938415, -85.5771646 42.2938633, -85.5767165 42.294062, -85.5765112 42.294153, -85.5764941 42.294161, -85.5763932 42.2942086)"
West Michigan Avenue,secondary,2,35,3,3,3,3,"LINESTRING (-85.5799131 42.2945756, -85.580022 42.2945735, -85.5805425 42.2945634, -85.5811236 42.2945521, -85.5814109 42.2945464, -85.5815121 42.2945443, -85.581632 42.294542)"
West Michigan Avenue,secondary,2,35,3,3,3,3,"LINESTRING (-85.535013 42.259773, -85.534869 42.259651, -85.5348187 42.2596162, -85.5347786 42.2595919, -85.5347325 42.2595751, -85.5346881 42.259563, -85.5346396 42.2595562, -85.534588 42.259552, -85.5330522 42.2595477, -85.5327287 42.2595473, -85.5326711 42.2595438, -85.5326089 42.2595339, -85.5325616 42.259522, -85.5325206 42.2595071, -85.5323989 42.2594454)"
West Michigan Avenue,secondary,2,35,3,3,3,3,"LINESTRING (-85.535013 42.259773, -85.5349269 42.2598271, -85.5348267 42.2599081, -85.534757 42.259972, -85.534701 42.26003, -85.53465 42.260088, -85.5344771 42.2603215, -85.5340084 42.2609425, -85.5337432 42.261291, -85.533585 42.2614991, -85.5335141 42.2615962, -85.5334371 42.2617003, -85.5333616 42.2617975, -85.5332733 42.2619018, -85.5331333 42.2620454, -85.5330749 42.2620932, -85.5330179 42.2621359, -85.5329667 42.2621719, -85.5328694 42.262229, -85.5327687 42.2622804, -85.5326526 42.2623318, -85.5325715 42.2623577, -85.5324494 42.2623928, -85.5323434 42.2624134, -85.5322375 42.2624282, -85.5321526 42.2624371, -85.5320721 42.2624426, -85.5319729 42.2624456)"
West Michigan Avenue,secondary,2,35,3,3,3,3,"LINESTRING (-85.535013 42.259773, -85.5350943 42.2597313, -85.5352348 42.2596724, -85.5353749 42.2596229, -85.5354407 42.2596031, -85.5355198 42.2595828, -85.5355979 42.2595665, -85.5357092 42.2595522, -85.5358107 42.2595431, -85.5359329 42.2595359, -85.5360687 42.2595349, -85.536652 42.259535)"
West Michigan Avenue,secondary,2,35,3,3,3,3,"LINESTRING (-85.587324 42.292541, -85.5873349 42.2929103, -85.5873394 42.293063, -85.5873494 42.2934275, -85.587352 42.2935238)"
West Michigan Avenue,secondary,2,35,3,3,3,3,"LINESTRING (-85.587352 42.2935238, -85.587469 42.2935195, -85.5878362 42.2935059, -85.5880608 42.2934976, -85.5882876 42.2934892, -85.5884728 42.2934823, -85.588589 42.293478)"
West Michigan Avenue,secondary,2,35,3,3,3,3,"LINESTRING (-85.587352 42.2935238, -85.5873538 42.2935939, -85.5873719 42.2943124, -85.5873726 42.2943388, -85.587375 42.294433)"
West Michigan Avenue,secondary,2,35,3,3,3,3,"LINESTRING (-85.587352 42.2935238, -85.5872475 42.2935247, -85.5869826 42.293527, -85.5866831 42.2935331, -85.5861146 42.2935445)"
West Michigan Avenue,secondary,2,35,3,3,3,3,"LINESTRING (-85.587416 42.295633, -85.5874414 42.2963077, -85.5874434 42.296362, -85.587458 42.296749)"
West Michigan Avenue,secondary,2,35,3,3,3,3,"LINESTRING (-85.587458 42.296749, -85.5874591 42.2968215, -85.587473 42.297278, -85.5874747 42.2973429, -85.5874852 42.2977465, -85.587487 42.297815)"
West Michigan Avenue,secondary,2,35,3,3,3,3,"LINESTRING (-85.587487 42.297815, -85.5874914 42.2979113, -85.5875097 42.2983175, -85.587519 42.298891)"
West Michigan Avenue,secondary,2,35,3,3,3,3,"LINESTRING (-85.587519 42.298891, -85.587514 42.299603)"
West Michigan Avenue,secondary,2,35,3,3,3,3,"LINESTRING (-85.587514 42.299603, -85.587597 42.301797)"
West Michigan Avenue,secondary,2,35,3,3,3,3,"LINESTRING (-85.587597 42.301797, -85.587635 42.303395)"
West Michigan Avenue,secondary,2,35,3,3,3,3,"LINESTRING (-85.587635 42.303395, -85.587659 42.304655)"
West Michigan Avenue,secondary,2,35,3,3,3,3,"LINESTRING (-85.587635 42.303395, -85.588802 42.303396)"
West Michigan Avenue,secondary,2,35,3,3,3,3,"LINESTRING (-85.587659 42.304655, -85.587675 42.30593)"
West Michigan Avenue,secondary,2,35,3,3,3,3,"LINESTRING (-85.587675 42.30593, -85.58773 42.308807)"
West Michigan Avenue,secondary,2,35,3,3,3,3,"LINESTRING (-85.557547 42.303235, -85.558065 42.303235)"
West Michigan Avenue,secondary,2,35,3,3,3,3,"LINESTRING (-85.557547 42.303235, -85.5574473 42.3032345, -85.556342 42.303229)"
West Michigan Avenue,secondary,2,35,3,3,3,3,"LINESTRING (-85.605415 42.2861673, -85.6064169 42.285888, -85.6065958 42.2858353)"
West Michigan Avenue,secondary,2,35,3,3,3,3,"LINESTRING (-85.605415 42.2861673, -85.6049534 42.2862908, -85.6048787 42.2863092, -85.6045827 42.2863744, -85.6043734 42.2864272, -85.6042092 42.2864574)"
West Michigan Avenue,secondary,2,35,3,3,3,3,"LINESTRING (-85.608176 42.294018, -85.607795 42.293976, -85.607654 42.293962, -85.607032 42.293903)"
West Michigan Avenue,secondary,2,35,3,3,3,3,"LINESTRING (-85.607032 42.293903, -85.606791 42.293878, -85.606614 42.293851, -85.606484 42.293827, -85.606458 42.293822, -85.606302 42.293787, -85.605996 42.293703)"
West Michigan Avenue,secondary,2,35,3,3,3,3,"LINESTRING (-85.607032 42.293903, -85.607654 42.293962, -85.607795 42.293976, -85.608176 42.294018)"
West Michigan Avenue,secondary,2,35,3,3,3,3,"LINESTRING (-85.605996 42.293703, -85.606302 42.293787, -85.606458 42.293822, -85.606484 42.293827, -85.606614 42.293851, -85.606791 42.293878, -85.607032 42.293903)"
West Michigan Avenue,secondary,2,35,3,3,3,3,"LINESTRING (-85.605996 42.293703, -85.605669 42.293608, -85.6055514 42.2935761, -85.6053919 42.2935327, -85.605161 42.29347, -85.6050666 42.2934412, -85.604768 42.29335, -85.6044679 42.2932548, -85.604166 42.293159, -85.6038787 42.2930721)"
West Michigan Avenue,secondary,2,35,3,3,3,3,"LINESTRING (-85.6038787 42.2930721, -85.6037737 42.2930425, -85.6027756 42.2927556, -85.602331 42.292635, -85.602151 42.292591, -85.601561 42.292494, -85.6014561 42.2924792)"
West Michigan Avenue,secondary,2,35,3,3,3,3,"LINESTRING (-85.6038787 42.2930721, -85.604166 42.293159, -85.6044679 42.2932548, -85.604768 42.29335, -85.6050666 42.2934412, -85.605161 42.29347, -85.6053919 42.2935327, -85.6055514 42.2935761, -85.605669 42.293608, -85.605996 42.293703)"
West Michigan Avenue,secondary,2,35,3,3,3,3,"LINESTRING (-85.6014561 42.2924792, -85.6011521 42.2924361, -85.6008202 42.292389)"
West Michigan Avenue,secondary,2,35,3,3,3,3,"LINESTRING (-85.6014561 42.2924792, -85.601561 42.292494, -85.602151 42.292591, -85.602331 42.292635, -85.6027756 42.2927556, -85.6037737 42.2930425, -85.6038787 42.2930721)"
West Michigan Avenue,secondary,2,35,3,3,3,3,"LINESTRING (-85.6008202 42.292389, -85.6003665 42.2923276, -85.6000646 42.2922917)"
West Michigan Avenue,secondary,2,35,3,3,3,3,"LINESTRING (-85.6008202 42.292389, -85.6011521 42.2924361, -85.6014561 42.2924792)"
West Michigan Avenue,secondary,2,35,3,3,3,3,"LINESTRING (-85.5990334 42.2921691, -85.5986016 42.2921122)"
West Michigan Avenue,secondary,2,35,3,3,3,3,"LINESTRING (-85.5986016 42.2921122, -85.5977084 42.2920029)"
West Michigan Avenue,secondary,2,35,3,3,3,3,"LINESTRING (-85.5977084 42.2920029, -85.5974273 42.291963)"
West Michigan Avenue,secondary,2,35,3,3,3,3,"LINESTRING (-85.5974273 42.291963, -85.5967776 42.2918839, -85.5959046 42.2917776)"
West Michigan Avenue,secondary,2,35,3,3,3,3,"LINESTRING (-85.5959046 42.2917776, -85.5951363 42.2916808, -85.5949677 42.2916596, -85.594936 42.2916556, -85.5948803 42.2916503, -85.5948116 42.2916423, -85.5944777 42.2916032, -85.5941388 42.2915636)"
West Michigan Avenue,secondary,2,35,3,3,3,3,"LINESTRING (-85.5941388 42.2915636, -85.593856 42.291535, -85.5938121 42.2915306, -85.5936361 42.2915128)"
West Michigan Avenue,secondary,2,35,3,3,3,3,"LINESTRING (-85.563782 42.245339, -85.5636971 42.2452878, -85.5634827 42.2451585, -85.5633892 42.2451089, -85.5633076 42.2450787, -85.5632115 42.2450576, -85.5631018 42.2450447, -85.5622541 42.2450496, -85.5621953 42.2450617, -85.5621523 42.245083, -85.5620964 42.2451263)"
West Michigan Avenue,secondary,2,35,3,3,3,3,"LINESTRING (-85.590009 42.307193, -85.5900094 42.3071519, -85.590012 42.306869, -85.590015 42.306367)"
North Westnedge Avenue,secondary,2,32,3,2,2,2,"LINESTRING (-85.590015 42.305108, -85.590013 42.304694)"
Old Michigan Avenue,residential,1,32,3,2,2,2,"LINESTRING (-85.6022847 42.2871003, -85.6025084 42.287017, -85.6026653 42.2869513, -85.6028187 42.2868833, -85.6030105 42.2867942, -85.603205 42.2867048)"
"['Eldred Street', 'Old Michigan Avenue']",residential,1,32,3,2,2,2,"LINESTRING (-85.6022847 42.2871003, -85.6020844 42.2871663, -85.6017496 42.2872829, -85.6015741 42.2873416, -85.6014154 42.2873985, -85.6013703 42.2874248, -85.6013408 42.2874516, -85.6013155 42.2874926, -85.601306 42.2875363, -85.6013068 42.2876456, -85.6013125 42.2884047, -85.6013162 42.2887525)"
East Cork Street,tertiary,1,32,3,4,4,3,"LINESTRING (-85.553606 42.259552, -85.5535002 42.2595528, -85.551727 42.259566)"
East Cork Street,tertiary,1,32,3,4,4,3,"LINESTRING (-85.553606 42.259552, -85.5537243 42.2595516, -85.5542974 42.2595499, -85.5548097 42.2595484, -85.5549345 42.259548, -85.555591 42.259546)"
Eleanor Street,residential,1,32,3,2,2,2,"LINESTRING (-85.5848295 42.2935685, -85.5861146 42.2935445)"
Eleanor Street,residential,1,32,3,3,3,2,"LINESTRING (-85.5848295 42.2935685, -85.5846604 42.2935727, -85.5844015 42.2935793, -85.5840898 42.2935871, -85.5837508 42.2935956, -85.5833934 42.2936045, -85.5832823 42.2936073)"
North Rose Street,tertiary,1,32,3,4,4,3,"LINESTRING (-85.5848295 42.2935685, -85.584831 42.2936314, -85.5848365 42.2938591, -85.5848475 42.2943179, -85.5848487 42.2943654, -85.5848493 42.2943912, -85.5848516 42.2944865)"
Eleanor Street,residential,1,32,3,2,2,2,"LINESTRING (-85.5826045 42.2926941, -85.582647 42.293494, -85.5826593 42.2936155, -85.5831938 42.2936085, -85.5832823 42.2936073)"
Branch Street,tertiary,1,30,2,4,4,2,"LINESTRING (-85.5646228 42.2839719, -85.5644646 42.2840557, -85.5641695 42.284212)"
East Michigan Avenue,primary,4,32,3,3,3,3,"LINESTRING (-85.581906 42.291721, -85.5817682 42.2917556, -85.5816432 42.2918043, -85.581489 42.2918778, -85.5804816 42.2923558, -85.5803165 42.2924341)"
East Michigan Avenue,primary,4,32,3,4,4,4,"LINESTRING (-85.5763932 42.2942086, -85.5760802 42.2943457, -85.5758629 42.2944408, -85.575778 42.294478, -85.5755141 42.2945583, -85.5752861 42.2946156, -85.5752615 42.2946203, -85.575122 42.2946473, -85.575079 42.2946556, -85.5748651 42.2946833, -85.5748191 42.2946893)"
East Kalamazoo Avenue,primary,4,35,3,2,2,3,"LINESTRING (-85.5748191 42.2946893, -85.5750521 42.2946985, -85.5751216 42.2946987, -85.5752021 42.294699, -85.5752683 42.2946969, -85.5753507 42.2946944, -85.5755238 42.2946865, -85.5758206 42.2946728, -85.5758652 42.2946708, -85.5760115 42.2946641, -85.576584 42.294638)"
East Michigan Avenue Cutoff,tertiary_link,3,32,3,1,1,2,"LINESTRING (-85.5686625 42.2957066, -85.5685227 42.2957358, -85.5684155 42.2957909, -85.5683135 42.2958489, -85.5682144 42.2958881, -85.5681016 42.2959302, -85.5679809 42.2959639, -85.5678764 42.2959893, -85.5677609 42.2960056, -85.5673316 42.2960587)"
East Michigan Avenue,tertiary,1,32,3,4,4,3,"LINESTRING (-85.565176 42.29519, -85.563795 42.2946264, -85.5634427 42.2944827, -85.561052 42.293507)"
East Michigan Avenue,tertiary,1,32,3,4,4,3,"LINESTRING (-85.561052 42.293507, -85.5597688 42.2929842)"
East Michigan Avenue,tertiary,1,32,3,4,4,3,"LINESTRING (-85.561052 42.293507, -85.5634427 42.2944827, -85.563795 42.2946264, -85.565176 42.29519)"
East Michigan Avenue,tertiary,1,32,3,4,4,3,"LINESTRING (-85.5597688 42.2929842, -85.561052 42.293507)"
East Michigan Avenue,tertiary,1,32,3,4,4,3,"LINESTRING (-85.5597688 42.2929842, -85.5592906 42.2927966, -85.5589487 42.2926863, -85.558445 42.292573)"
East Michigan Avenue,tertiary,1,32,3,4,4,3,"LINESTRING (-85.558445 42.292573, -85.5582057 42.2925249, -85.5580642 42.2924934, -85.5575465 42.2923733, -85.5562889 42.2920816, -85.555869 42.291983, -85.555736 42.291949, -85.555512 42.291885)"
East Michigan Avenue,tertiary,1,32,3,4,4,3,"LINESTRING (-85.558445 42.292573, -85.5589487 42.2926863, -85.5592906 42.2927966, -85.5597688 42.2929842)"
East Michigan Avenue,tertiary,1,32,3,4,4,3,"LINESTRING (-85.555512 42.291885, -85.555331 42.291829)"
